N,POPULATION_SIZE,OFFSPRING_SIZE,Fitness,Time
1000,50,33,391045,21.54532527923584
1000,200,33,396931,24.964030504226685
1000,300,33,389343,44.131640911102295
1000,500,33,391510,37.93997311592102
1000,600,33,386251,41.70422124862671
1000,1000,33,396750,73.17929029464722
1000,2000,33,425342,132.27056121826172
1000,3000,33,439070,218.73325419425964
1000,5000,33,455760,549.2937874794006
1000,50,133,252590,413.14420461654663
1000,200,133,313137,95.85716199874878
1000,300,133,326348,96.9297821521759
1000,500,133,339326,116.86349749565125
1000,600,133,338983,157.00365543365479
1000,1000,133,328573,186.24943590164185
1000,2000,133,324410,341.9526913166046
1000,3000,133,330811,434.5539164543152
1000,5000,133,368928,1327.8185591697693
1000,50,200,199031,1605.7853195667267
1000,200,200,273643,173.21378779411316
1000,300,200,283297,153.78823518753052
1000,500,200,309041,179.43800616264343
1000,600,200,324687,211.41519737243652
1000,1000,200,335964,305.2346603870392
1000,2000,200,310533,554.4960343837738
1000,3000,200,311415,696.5165274143219
1000,5000,200,327969,993.1790587902069
